"funding_total_usd ";"name";"market ";"status";"funding_rounds";"founded_at";"first_funding_at";"Statuts"
"3000000";"Mark One";"Health and Wellness ";"operating";1;2013-12-24 00:00:00;2014-08-21 00:00:00;0
"2025000";"Mark43";"Software ";"operating";2;2012-02-01 00:00:00;2013-05-01 00:00:00;0
"800000";"Markerly";"Advertising ";"operating";2;2012-04-01 00:00:00;2012-07-31 00:00:00;0
"47000000";"Market Force Information";"Analytics ";"operating";2;2005-01-01 00:00:00;2009-03-01 00:00:00;0
"28150000";"Market Wire";"Advertising ";"operating";4;1994-01-01 00:00:00;1990-11-30 00:00:00;0
"5500000";"Market6";"Analytics ";"operating";1;2002-01-01 00:00:00;2006-06-06 00:00:00;0
"500000";"MarketArt";"Event Management ";"operating";2;2005-01-01 00:00:00;2009-10-15 00:00:00;0
"8000000";"MarketBridge";"Digital Media ";"operating";2;2000-01-01 00:00:00;2000-01-01 00:00:00;0
"4000000";"Marketcetera";"Software ";"operating";1;2006-01-01 00:00:00;2008-06-05 00:00:00;0
"1473000";"Marketecture";"Software ";"operating";6;2010-03-01 00:00:00;2010-01-01 00:00:00;0
"3695012";"MarketFactory";"Technology ";"operating";5;2007-07-01 00:00:00;2009-07-01 00:00:00;0
"7575000";"Marketfish";"Advertising ";"closed";3;2008-07-18 00:00:00;2009-06-30 00:00:00;1
"1600000";"Marketforce One";"Consulting ";"operating";1;2008-01-01 00:00:00;2010-04-22 00:00:00;0
"400000";"Marketing Technology Concepts";"Software ";"operating";1;1994-01-01 00:00:00;2014-02-04 00:00:00;0
"20000000";"MarketLive";"E-Commerce ";"operating";1;1995-01-01 00:00:00;2008-05-05 00:00:00;0
"2550000";"MarketMeSuite";"Facebook Applications ";"operating";3;2009-11-01 00:00:00;2011-09-22 00:00:00;0
"60000";"MarketMuse";"Analytics ";"operating";3;2013-01-01 00:00:00;2013-10-30 00:00:00;0
"108400000";"Marketo";"Optimization ";"operating";6;2006-01-01 00:00:00;2006-10-01 00:00:00;0
"16250000";"Marketocracy";"Finance ";"operating";2;2000-01-01 00:00:00;2007-02-19 00:00:00;0
"1000000";"MarketPage";"Marketplaces ";"closed";1;2012-01-01 00:00:00;2011-08-01 00:00:00;1
"200000";"MarketRiders";"Personal Finance ";"operating";1;2008-01-15 00:00:00;2008-01-15 00:00:00;0
"78000000";"MarketShare";"Analytics ";"operating";4;2005-01-01 00:00:00;2011-04-14 00:00:00;0
"1000000";"MarketSharing";"Network Security ";"operating";1;2011-03-01 00:00:00;2011-04-27 00:00:00;0
"891772";"Marketsync";"Software ";"operating";4;2005-01-01 00:00:00;2008-09-16 00:00:00;0
"83000000";"MarketTools";"Software ";"acquired";2;1997-01-01 00:00:00;2007-01-01 00:00:00;0
"7410000";"MarkITx";"E-Commerce ";"operating";3;2012-04-01 00:00:00;2012-11-06 00:00:00;0
